Field,Type,Null,Key,Default,Extra
stat_id,int,NO,PRI,NULL,auto_increment
patient_id,varchar(50),YES,MUL,NULL,
stat_date,date,YES,MUL,NULL,
avg_temperature,"decimal(4,2)",YES,,NULL,
avg_heart_rate,"decimal(5,2)",YES,,NULL,
avg_bp_sys,"decimal(5,2)",YES,,NULL,
avg_bp_dia,"decimal(5,2)",YES,,NULL,
avg_glucose,"decimal(5,2)",YES,,NULL,
fever_count,int,YES,,0,
cough_count,int,YES,,0,
chest_pain_count,int,YES,,0,
sob_count,int,YES,,0,
fatigue_count,int,YES,,0,
headache_count,int,YES,,0,
disease_history,json,YES,,NULL,
most_common_disease,varchar(100),YES,,NULL,
disease_frequency,int,YES,,NULL,
risk_trend,"enum('Improving','Stable','Worsening')",YES,MUL,NULL,
severity_score,int,YES,,NULL,
created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
date,date,YES,,NULL,
symptom_count,int,YES,,0,
